players_used,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,url
,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
30,38,499,292,263,181,55,197,565,34.9,368,341,90,251,428,927,766,8,/en/squads/8d6fd021/2020-2021/Alaves-Stats
27,38,461,269,194,200,67,167,515,32.4,348,341,74,267,344,805,684,9,/en/squads/2b390eca/2020-2021/Athletic-Club-Stats
25,38,622,367,291,253,78,296,631,46.9,335,361,83,278,386,1008,671,7,/en/squads/db3b9613/2020-2021/Atletico-Madrid-Stats
25,38,499,293,223,195,81,224,522,42.9,298,325,70,255,361,860,429,16,/en/squads/206d90db/2020-2021/Barcelona-Stats
25,38,556,314,274,220,62,211,556,37.9,345,361,74,287,452,1008,687,11,/en/squads/fc536746/2020-2021/Real-Betis-Stats
30,38,662,368,332,259,71,238,694,34.3,456,399,89,310,405,1067,751,12,/en/squads/f25da7fb/2020-2021/Celta-Vigo-Stats
34,38,573,317,305,216,52,247,607,40.7,360,368,99,269,437,1010,788,8,/en/squads/ee7c297c/2020-2021/Cadiz-Stats
30,38,514,309,228,204,82,203,518,39.2,315,360,63,297,434,948,593,11,/en/squads/bea5c710/2020-2021/Eibar-Stats
30,38,551,335,324,189,38,210,578,36.3,368,357,97,260,386,937,689,11,/en/squads/6c8b07df/2020-2021/Elche-Stats
31,38,579,352,232,276,71,241,619,38.9,378,361,53,308,393,972,615,4,/en/squads/7848bd64/2020-2021/Getafe-Stats
34,38,499,279,226,213,60,185,468,39.5,283,388,128,260,392,891,764,7,/en/squads/a0435291/2020-2021/Granada-Stats
27,38,556,322,309,191,56,239,579,41.3,340,342,83,259,437,993,616,7,/en/squads/c6c493e6/2020-2021/Huesca-Stats
29,38,512,283,268,189,55,208,543,38.3,335,336,94,242,432,944,680,15,/en/squads/9800b6a1/2020-2021/Levante-Stats
28,38,524,281,223,217,84,224,552,40.6,328,349,100,249,392,916,774,7,/en/squads/03c57e2b/2020-2021/Osasuna-Stats
30,38,531,318,266,188,77,192,532,36.1,340,344,83,261,398,929,544,12,/en/squads/53a2f082/2020-2021/Real-Madrid-Stats
30,38,547,322,240,227,80,200,480,41.7,280,353,96,257,315,862,563,5,/en/squads/e31d1cd9/2020-2021/Real-Sociedad-Stats
26,38,492,297,220,200,72,184,510,36.1,326,310,90,220,362,854,636,10,/en/squads/ad2be733/2020-2021/Sevilla-Stats
30,38,463,277,241,163,59,198,592,33.4,394,372,123,249,392,855,785,12,/en/squads/dcc91a7b/2020-2021/Valencia-Stats
32,38,559,321,285,208,66,247,681,36.3,434,379,102,277,431,990,812,9,/en/squads/17859612/2020-2021/Valladolid-Stats
29,38,539,313,256,205,78,239,588,40.6,349,358,101,257,371,910,638,17,/en/squads/2a8183b3/2020-2021/Villarreal-Stats
