players_used,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,url
,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
30,38,96,8,5,513,487,73,645,428,292,5,3,0,1737,831,602,58.0,/en/squads/8d6fd021/2020-2021/Alaves-Stats
27,38,82,3,1,483,477,77,811,344,269,5,6,1,1836,656,601,52.2,/en/squads/2b390eca/2020-2021/Athletic-Club-Stats
25,38,100,0,0,489,443,96,597,386,367,6,4,3,1951,530,482,52.4,/en/squads/db3b9613/2020-2021/Atletico-Madrid-Stats
25,38,72,2,2,357,523,90,494,361,293,6,5,2,1937,395,317,55.5,/en/squads/206d90db/2020-2021/Barcelona-Stats
25,38,93,8,4,521,483,65,586,452,314,9,10,3,1938,613,628,49.4,/en/squads/fc536746/2020-2021/Real-Betis-Stats
30,38,109,5,3,631,492,65,521,405,368,7,8,1,1988,609,669,47.7,/en/squads/f25da7fb/2020-2021/Celta-Vigo-Stats
34,38,81,3,2,436,483,56,731,437,317,3,10,1,1809,687,753,47.7,/en/squads/ee7c297c/2020-2021/Cadiz-Stats
30,38,71,3,2,494,387,67,1052,434,309,4,5,0,2179,908,917,49.8,/en/squads/bea5c710/2020-2021/Eibar-Stats
30,38,99,3,2,527,456,51,672,386,335,1,10,1,1811,488,539,47.5,/en/squads/6c8b07df/2020-2021/Elche-Stats
31,38,120,7,2,631,520,74,815,393,352,3,8,3,1943,840,946,47.0,/en/squads/7848bd64/2020-2021/Getafe-Stats
34,38,97,6,1,533,469,82,613,392,279,4,12,1,1800,675,851,44.2,/en/squads/a0435291/2020-2021/Granada-Stats
27,38,69,2,1,528,518,101,824,437,322,2,5,2,1876,580,598,49.2,/en/squads/c6c493e6/2020-2021/Huesca-Stats
29,38,68,1,0,509,397,69,697,432,283,5,4,2,2023,455,522,46.6,/en/squads/9800b6a1/2020-2021/Levante-Stats
28,38,80,5,3,535,407,67,700,392,281,3,8,2,2071,996,806,55.3,/en/squads/03c57e2b/2020-2021/Osasuna-Stats
30,38,59,2,1,407,474,86,771,398,318,2,8,1,1901,444,381,53.8,/en/squads/53a2f082/2020-2021/Real-Madrid-Stats
30,38,81,1,0,566,459,86,712,315,322,8,5,1,1941,663,669,49.8,/en/squads/e31d1cd9/2020-2021/Real-Sociedad-Stats
26,38,79,2,2,491,488,69,731,362,297,4,6,2,1944,615,534,53.5,/en/squads/ad2be733/2020-2021/Sevilla-Stats
30,38,82,5,3,459,525,90,613,392,277,6,8,2,1832,602,575,51.1,/en/squads/dcc91a7b/2020-2021/Valencia-Stats
32,38,93,4,0,510,510,75,744,431,321,8,7,0,1922,628,818,43.4,/en/squads/17859612/2020-2021/Valladolid-Stats
29,38,67,5,1,449,465,88,579,371,313,7,9,2,1878,489,496,49.6,/en/squads/2a8183b3/2020-2021/Villarreal-Stats
