players_used,Poss,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,url
,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,
30,41.8,38,18179,2162,6122,7564,4706,764,18172,625,310,49.6,254,40.6,8574,48049,25494,550,364,138,572,299,9972,1252,/en/squads/8d6fd021/2023-2024/Alaves-Stats
35,46.4,38,20902,2654,7711,9323,4094,614,20900,667,299,44.8,314,47.1,11128,59196,30444,590,424,132,550,269,12660,1082,/en/squads/78ecf4bb/2023-2024/Almeria-Stats
27,49.8,38,22845,1965,6376,10617,6083,901,22839,743,338,45.5,349,47.0,12487,65998,34507,735,528,193,571,366,14367,1596,/en/squads/2b390eca/2023-2024/Athletic-Club-Stats
27,50.8,38,24749,2368,7880,11405,5662,954,24743,567,297,52.4,227,40.0,14402,72549,38491,758,546,181,533,303,16931,1580,/en/squads/db3b9613/2023-2024/Atletico-Madrid-Stats
29,64.3,38,28717,2191,7360,14262,7313,1077,28710,826,384,46.5,338,40.9,17768,96311,54148,964,728,262,605,305,21296,1911,/en/squads/206d90db/2023-2024/Barcelona-Stats
35,50.4,38,23335,2339,7497,10512,5555,886,23332,793,386,48.7,329,41.5,13053,68844,34142,676,495,186,626,427,15184,1424,/en/squads/fc536746/2023-2024/Real-Betis-Stats
31,46.1,38,22062,2314,7084,9675,5538,818,22057,646,295,45.7,291,45.0,12540,63894,32693,660,489,162,600,336,13773,1332,/en/squads/f25da7fb/2023-2024/Celta-Vigo-Stats
34,43.3,38,19166,2242,6375,8425,4551,570,19163,537,230,42.8,263,49.0,9664,52345,25428,456,422,76,571,343,10662,996,/en/squads/ee7c297c/2023-2024/Cadiz-Stats
33,44.8,38,19243,2020,5619,8971,4848,684,19236,552,239,43.3,261,47.3,9360,49101,24618,439,385,122,576,281,10603,1124,/en/squads/7848bd64/2023-2024/Getafe-Stats
25,56.9,38,25780,2695,8432,11583,5985,977,25772,745,353,47.4,297,39.9,16055,90323,46626,894,599,234,584,376,18610,1673,/en/squads/9024a00a/2023-2024/Girona-Stats
40,45.6,38,20152,2413,7720,8677,3997,667,20144,658,303,46.0,296,45.0,10969,57198,28813,512,379,112,600,305,12010,1030,/en/squads/a0435291/2023-2024/Granada-Stats
29,59.2,38,27041,2667,9077,12876,5282,614,27036,680,316,46.5,308,45.3,15544,71689,36286,577,459,116,645,365,18955,1573,/en/squads/0049d422/2023-2024/Las-Palmas-Stats
25,45.0,38,19767,2279,6620,8961,4390,672,19764,511,251,49.1,219,42.9,9848,53864,26398,498,377,108,566,313,11353,1155,/en/squads/2aa12281/2023-2024/Mallorca-Stats
29,47.5,38,21181,2147,6244,9526,5586,720,21176,530,237,44.7,247,46.6,10522,54022,25894,501,408,97,540,283,12730,1306,/en/squads/03c57e2b/2023-2024/Osasuna-Stats
26,49.4,38,21757,2306,7210,9672,5091,669,21751,653,283,43.3,306,46.9,10906,56132,26844,506,368,116,634,373,13171,1327,/en/squads/98e8af82/2023-2024/Rayo-Vallecano-Stats
27,59.2,38,28670,2455,7880,13241,7813,1156,28665,889,401,45.1,393,44.2,18483,97637,52448,950,802,315,480,312,21642,1923,/en/squads/53a2f082/2023-2024/Real-Madrid-Stats
31,55.3,38,23321,2214,6934,11207,5377,769,23317,681,321,47.1,284,41.7,12972,71091,36540,685,465,175,612,351,15092,1402,/en/squads/e31d1cd9/2023-2024/Real-Sociedad-Stats
35,50.3,38,22879,2261,7429,10033,5652,746,22877,632,292,46.2,278,44.0,12225,64805,32942,635,447,146,620,280,14506,1406,/en/squads/ad2be733/2023-2024/Sevilla-Stats
29,44.3,38,20444,2323,7222,9012,4440,593,20435,644,276,42.9,294,45.7,10723,56085,28187,522,399,136,582,318,12130,1151,/en/squads/dcc91a7b/2023-2024/Valencia-Stats
32,49.6,38,22729,2879,8003,9685,5250,848,22722,723,351,48.5,329,45.5,12248,68209,34560,654,491,189,570,356,15179,1548,/en/squads/2a8183b3/2023-2024/Villarreal-Stats
