season,team,performance_xg,efficiency,trend,play_style
2020-21,Alaves,0.16000000000000014,-7.600000000000001,,Equilibrat
2020-21,Athletic Club,0.10999999999999988,0.10000000000000142,up,Equilibrat
2020-21,Atletico Madrid,0.1499999999999999,12.200000000000003,,Equilibrat
2020-21,Barcelona,0.15999999999999992,6.700000000000003,up,Ofensiu
2020-21,Real Betis,0.21999999999999997,1.0,,Equilibrat
2020-21,Celta Vigo,0.15000000000000013,4.5,up,Defensiu
2020-21,Cadiz,0.08000000000000007,-1.6000000000000014,,Defensiu
2020-21,Eibar,0.17999999999999994,-16.200000000000003,down,Equilibrat
2020-21,Elche,0.07000000000000006,3.0,up,Equilibrat
2020-21,Getafe,0.10999999999999999,-7.600000000000001,down,Equilibrat
2020-21,Granada,0.10000000000000009,6.0,up,Equilibrat
2020-21,Huesca,0.08000000000000007,-6.799999999999997,down,Equilibrat
2020-21,Levante,0.1200000000000001,4.700000000000003,up,Equilibrat
2020-21,Osasuna,0.10999999999999999,-2.799999999999997,down,Equilibrat
2020-21,Real Madrid,0.06000000000000005,2.3999999999999986,up,Ofensiu
2020-21,Real Sociedad,0.24,-2.799999999999997,down,Equilibrat
2020-21,Sevilla,0.1399999999999999,-2.299999999999997,up,Equilibrat
2020-21,Valencia,0.20000000000000007,5.399999999999999,up,Equilibrat
2020-21,Valladolid,0.17000000000000004,-6.299999999999997,down,Defensiu
2020-21,Villarreal,0.26,0.7999999999999972,up,Equilibrat
2021-22,Alaves,0.16000000000000014,-7.600000000000001,,Equilibrat
2021-22,Athletic Club,0.10999999999999988,0.10000000000000142,up,Equilibrat
2021-22,Atletico Madrid,0.1499999999999999,12.200000000000003,,Equilibrat
2021-22,Barcelona,0.15999999999999992,6.700000000000003,up,Ofensiu
2021-22,Real Betis,0.21999999999999997,1.0,,Equilibrat
2021-22,Celta Vigo,0.15000000000000013,4.5,up,Defensiu
2021-22,Cadiz,0.08000000000000007,-1.6000000000000014,,Defensiu
2021-22,Eibar,0.17999999999999994,-16.200000000000003,down,Equilibrat
2021-22,Elche,0.07000000000000006,3.0,up,Equilibrat
2021-22,Getafe,0.10999999999999999,-7.600000000000001,down,Equilibrat
2021-22,Granada,0.10000000000000009,6.0,up,Equilibrat
2021-22,Huesca,0.08000000000000007,-6.799999999999997,down,Equilibrat
2021-22,Levante,0.1200000000000001,4.700000000000003,up,Equilibrat
2021-22,Osasuna,0.10999999999999999,-2.799999999999997,down,Equilibrat
2021-22,Real Madrid,0.06000000000000005,2.3999999999999986,up,Ofensiu
2021-22,Real Sociedad,0.24,-2.799999999999997,down,Equilibrat
2021-22,Sevilla,0.1399999999999999,-2.299999999999997,up,Equilibrat
2021-22,Valencia,0.20000000000000007,5.399999999999999,up,Equilibrat
2021-22,Valladolid,0.17000000000000004,-6.299999999999997,down,Defensiu
2021-22,Villarreal,0.26,0.7999999999999972,up,Equilibrat
2022-23,Almeria,0.06000000000000005,3.3999999999999986,,Equilibrat
2022-23,Athletic Club,0.1499999999999999,-8.299999999999997,down,Equilibrat
2022-23,Atletico Madrid,0.019999999999999796,6.100000000000001,,Equilibrat
2022-23,Barcelona,0.040000000000000036,-6.599999999999994,down,Ofensiu
2022-23,Real Betis,0.18000000000000016,-8.299999999999997,,Defensiu
2022-23,Celta Vigo,0.06000000000000005,-1.6000000000000014,down,Equilibrat
2022-23,Cadiz,0.10000000000000009,-12.399999999999999,,Equilibrat
2022-23,Elche,0.10999999999999999,-7.600000000000001,down,Defensiu
2022-23,Espanyol,0.10000000000000009,2.700000000000003,up,Defensiu
2022-23,Getafe,0.16999999999999993,-2.8999999999999986,down,Equilibrat
2022-23,Girona,0.18000000000000016,4.5,up,Equilibrat
2022-23,Mallorca,0.1100000000000001,0.7000000000000028,up,Equilibrat
2022-23,Osasuna,0.1100000000000001,-3.8999999999999986,down,Equilibrat
2022-23,Rayo Vallecano,0.16999999999999993,-3.1000000000000014,stable,Defensiu
2022-23,Real Madrid,0.25,-2.5999999999999943,down,Ofensiu
2022-23,Real Sociedad,0.07999999999999985,-5.799999999999997,down,Equilibrat
2022-23,Sevilla,0.09999999999999987,0.6000000000000014,up,Equilibrat
2022-23,Valencia,0.17000000000000015,-9.399999999999999,down,Equilibrat
2022-23,Valladolid,0.07999999999999996,-6.399999999999999,down,Defensiu
2022-23,Villarreal,0.14000000000000012,-4.600000000000001,down,Equilibrat
2023-24,Alaves,0.1499999999999999,-13.399999999999999,,Equilibrat
2023-24,Almeria,0.040000000000000036,-6.600000000000001,,Defensiu
2023-24,Athletic Club,0.10999999999999988,6.200000000000003,up,Equilibrat
2023-24,Atletico Madrid,0.11999999999999988,5.700000000000003,,Ofensiu
2023-24,Barcelona,0.14000000000000012,-1.5,down,Ofensiu
2023-24,Real Betis,0.05999999999999983,1.8999999999999986,,Defensiu
2023-24,Celta Vigo,0.10000000000000009,-5.5,down,Equilibrat
2023-24,Cadiz,0.06999999999999995,-11.100000000000001,,Defensiu
2023-24,Getafe,0.1399999999999999,-3.6000000000000014,down,Equilibrat
2023-24,Girona,0.16000000000000014,13.299999999999997,up,Ofensiu
2023-24,Granada,0.16000000000000014,-7.600000000000001,down,Equilibrat
2023-24,Las Palmas,0.09999999999999998,-0.10000000000000142,up,Equilibrat
2023-24,Mallorca,0.06000000000000005,-7.700000000000003,down,Equilibrat
2023-24,Osasuna,0.1100000000000001,4.299999999999997,up,Equilibrat
2023-24,Rayo Vallecano,0.1200000000000001,-13.200000000000003,down,Equilibrat
2023-24,Real Madrid,0.09000000000000008,16.200000000000003,up,Ofensiu
2023-24,Real Sociedad,0.07999999999999985,3.200000000000003,up,Equilibrat
2023-24,Sevilla,0.040000000000000036,1.2000000000000028,up,Equilibrat
2023-24,Valencia,0.17999999999999994,-3.8999999999999986,up,Equilibrat
2023-24,Villarreal,0.1399999999999999,8.5,up,Equilibrat
2024-25,Alaves,0.22999999999999987,-4.899999999999999,,Equilibrat
2024-25,Athletic Club,0.11999999999999988,0.20000000000000284,up,Equilibrat
2024-25,Atletico Madrid,0.1399999999999999,3.4000000000000057,,Equilibrat
2024-25,Barcelona,0.16999999999999993,7.400000000000006,up,Ofensiu
2024-25,Real Betis,0.20999999999999996,0.29999999999999716,,Defensiu
2024-25,Celta Vigo,0.18999999999999995,3.700000000000003,up,Equilibrat
2024-25,Espanyol,0.10999999999999999,3.3999999999999986,up,Defensiu
2024-25,Getafe,0.09999999999999998,-2.8999999999999986,up,Equilibrat
2024-25,Girona,0.10000000000000009,0.3999999999999986,up,Equilibrat
2024-25,Las Palmas,0.08999999999999997,1.5,up,Defensiu
2024-25,Leganes,0.1399999999999999,1.8999999999999986,,Defensiu
2024-25,Mallorca,0.09999999999999998,-4.799999999999997,down,Equilibrat
2024-25,Osasuna,0.16999999999999993,1.8999999999999986,up,Equilibrat
2024-25,Rayo Vallecano,0.020000000000000018,-7.200000000000003,down,Defensiu
2024-25,Real Madrid,0.28,2.799999999999997,up,Ofensiu
2024-25,Real Sociedad,0.08000000000000007,-8.600000000000001,down,Equilibrat
2024-25,Sevilla,0.06000000000000005,-3.6000000000000014,up,Equilibrat
2024-25,Valencia,0.10999999999999988,-0.29999999999999716,stable,Equilibrat
2024-25,Valladolid,0.09999999999999998,-8.600000000000001,down,Equilibrat
2024-25,Villarreal,0.1499999999999999,4.0,down,Equilibrat
